,input
81,"W. Rex Black نام میں W کا کیا مطلب ہے؟ولفورڈ ریکس بلیک (31 جنوری 1920 - 12 دسمبر 2012) ایک امریکی سیاست دان تھے۔

ولفورڈ ریکس بلیک نے 1973 سے 1997 تک دوسرے یوٹاہ سینیٹ ڈسٹرکٹ کی نمائندگی کی۔ ڈبلیو ریکس بلیک، جیسا کہ ان کا اکثر حوالہ دیا جاتا ہے، ڈیموکریٹک پارٹی کے رکن تھے اور کئی سالوں تک یوٹاہ سینیٹ میں اقلیتی رہنما کے طور پر پارٹی کی نمائندگی کرتے رہے۔"
413,براہ کرم ہرشد مہتا گھوٹالے پر ایک مختصر خلاصہ فراہم کریں۔ہرشد شانتی لال مہتا (29 جولائی 1954 - 31 دسمبر 2001) ایک ہندوستانی اسٹاک بروکر اور ایک سزا یافتہ دھوکہ باز تھا۔ مہتا کے 1992 کے ہندوستانی سیکیورٹیز گھوٹالے میں ملوث ہونے نے انہیں مارکیٹ میں ہیرا پھیری کرنے والے کے طور پر بدنام کیا۔
583,ہندوستان میں پانچ سب سے بڑے اسٹارٹ اپس کی فہرست بنائیں۔
137,8 اشیاء کی فہرست بنائیں جو آپ الیکٹرانکس کی دکان میں خریدیں گے۔
470,ہمارے پاس 8 سیب اور 4 سنترے ہیں۔ ہمارے پاس کل کتنے پھل ہیں؟
699,درج ذیل جملے میں دی گئی جگہوں پر صحیح اوقاف داخل کریں۔جین نے خاموشی سے دروازہ کھولا۔
995,کسی کتاب سے درج ذیل اقتباس کے سیاق و سباق کا خلاصہ کریں۔للی بیڈ پر بیٹھی اور شہر کے آسمان کی طرف دیکھنے لگی۔ سورج غروب ہو رہا تھا اور آسمان گہرا شاہی نیلا تھا جس میں گلابی اور نارنجی کی لکیریں تھیں۔
87,"مجھے پانی کی فلورائڈیشن کے بارے میں بتائیںپانی کی فلورائڈیشن صرف دانتوں کی خرابی کو کم کرنے کے لیے عوامی پانی کی فراہمی میں فلورائیڈ کی کنٹرول شدہ ایڈجسٹمنٹ ہے۔ فلورائیڈ والے پانی میں فلورائیڈ اس سطح پر ہوتا ہے جو گہاوں کو روکنے کے لیے موثر ہے۔ یہ قدرتی طور پر یا فلورائیڈ ملا کر ہو سکتا ہے۔[2] فلورائیڈ والا پانی دانتوں کی سطحوں پر کام کرتا ہے: منہ میں، یہ تھوک میں فلورائیڈ کی کم سطح پیدا کرتا ہے، جس سے دانتوں کے تامچینی کو معدنیات سے پاک کرنے کی شرح کو کم کرتا ہے اور اس شرح کو بڑھاتا ہے جس پر یہ گہا کے ابتدائی مراحل میں دوبارہ معدنیات سے پاک ہوتا ہے۔[3] عام طور پر پینے کے پانی میں ایک فلوریڈیٹڈ مرکب شامل کیا جاتا ہے، یہ ایک ایسا عمل ہے جس پر امریکہ میں اوسطاً $1.17 فی شخص سال خرچ ہوتا ہے۔[2][4] جب قدرتی طور پر پائے جانے والے فلورائیڈ کی سطح تجویز کردہ حد سے تجاوز کر جائے تو ڈیفلوورائیڈیشن کی ضرورت ہوتی ہے۔[5] 2011 میں، ورلڈ ہیلتھ آرگنائزیشن نے فلورائیڈ کی سطح 0.5 سے 1.5 mg/L (ملیگرام فی لیٹر) تجویز کی، جو کہ آب و ہوا، مقامی ماحول، اور فلورائیڈ کے دیگر ذرائع پر منحصر ہے۔[6] بوتل کے پانی میں عام طور پر نامعلوم فلورائیڈ کی سطح ہوتی ہے۔[7]

زیادہ تر صنعتی ممالک میں دانتوں کا سڑنا صحت عامہ کا ایک بڑا مسئلہ بنی ہوئی ہے، جس سے 60-90% اسکولی بچوں اور بالغوں کی اکثریت متاثر ہوتی ہے۔[8] پانی کی فلورائڈیشن بچوں میں گہاوں کو کم کرتی ہے، جبکہ بالغوں میں افادیت کم واضح ہوتی ہے۔[9][10] Cochrane کے جائزے میں گہاوں میں کمی کا تخمینہ لگایا گیا ہے جب پانی کی فلورائڈیشن ایسے بچوں کے ذریعہ استعمال کی گئی تھی جن کی فلورائڈ کے دوسرے ذرائع تک رسائی نہیں تھی جو بچوں کے دانتوں میں 35% اور مستقل دانتوں میں 26% تھی۔[9] تاہم، یہ پرانے مطالعات پر مبنی تھا جو متعدد متغیرات پر قابو پانے میں ناکام رہے، جیسے چینی کی کھپت میں اضافہ کے ساتھ ساتھ دیگر دانتوں کی حکمت عملی۔[9] زیادہ تر یورپی ممالک نے دانتوں کی خرابی میں خاطر خواہ کمی کا تجربہ کیا ہے، حالانکہ پانی کی فلورائڈیشن کے بدلے دودھ اور نمک کا فلورائڈیشن بڑے پیمانے پر ہے۔[11] حالیہ مطالعات سے پتہ چلتا ہے کہ پانی کی فلورائڈیشن، خاص طور پر صنعتی ممالک میں، غیر ضروری ہو سکتی ہے کیونکہ ٹاپیکل فلورائڈز (جیسے ٹوتھ پیسٹ میں) بڑے پیمانے پر استعمال ہوتے ہیں، اور کیریز کی شرح کم ہو گئی ہے۔[3]

اگرچہ فلورائیڈیشن دانتوں کے فلوروسس کا سبب بن سکتی ہے، جو دانتوں کی نشوونما یا تامچینی فلوروسس کی ظاہری شکل کو تبدیل کر سکتی ہے، [3] فرق ہلکے ہوتے ہیں اور عام طور پر جمالیاتی یا صحت عامہ کی فکر نہیں ہوتی۔[12] پانی کی فلورائڈیشن سے دیگر ضمنی اثرات کا کوئی واضح ثبوت نہیں ہے۔[13] فلورائیڈ کے اثرات تمام ذرائع سے فلورائیڈ کی کل روزانہ کی مقدار پر منحصر ہیں۔ پینے کا پانی عام طور پر سب سے بڑا ذریعہ ہے؛ [14] فلورائیڈ تھراپی کے دیگر طریقوں میں ٹوتھ پیسٹ، نمک اور دودھ کا فلورائڈیشن شامل ہے۔[15] دانتوں کی خرابی کی کمیونٹی کی روک تھام کے لیے سب سے موثر طریقہ کے بارے میں خیالات ملے جلے ہیں۔ آسٹریلوی حکومت کا کہنا ہے کہ واٹر فلورائیڈیشن فلورائیڈ کی نمائش حاصل کرنے کا سب سے مؤثر طریقہ ہے جو کہ کمیونٹی بھر میں ہے۔[12] ورلڈ ہیلتھ آرگنائزیشن نے رپورٹ کیا ہے کہ پانی کی فلورائڈیشن، جب ممکن ہو اور ثقافتی طور پر قابل قبول ہو، کافی فوائد رکھتا ہے، خاص طور پر زیادہ خطرے والے ذیلی گروپوں کے لیے، [8] جب کہ یورپی کمیشن کو حالات کے استعمال کے مقابلے میں پانی کی فلورائڈیشن کا کوئی فائدہ نہیں ملتا ہے۔[16]

عوامی پانی کی فلورائڈیشن سب سے پہلے امریکہ میں عمل میں آئی۔[17] 2012 تک، 25 ممالک میں مختلف ڈگریوں تک مصنوعی پانی کی فلورائڈیشن ہے، ان میں سے 11 میں ان کی 50% سے زیادہ آبادی فلورائیڈ والا پانی پیتی ہے۔ مزید 28 ممالک میں پانی ہے جو قدرتی طور پر فلورائیڈ ہے، حالانکہ ان میں سے اکثر میں فلورائیڈ بہترین سطح سے زیادہ ہے۔[18] 2012 تک، دنیا بھر میں تقریباً 435 ملین افراد نے تجویز کردہ سطح پر فلورائیڈڈ پانی حاصل کیا (یعنی عالمی آبادی کا تقریباً 5.4%)۔ صحت کی بڑی تنظیمیں جیسے کہ ورلڈ ہیلتھ آرگنائزیشن اور ایف ڈی آئی ورلڈ ڈینٹل فیڈریشن نے پانی کے فلورائڈیشن کو محفوظ اور موثر قرار دیا ہے۔[20] بیماریوں کے کنٹرول اور روک تھام کے مراکز نے پانی کی فلورائڈیشن کو امریکہ میں 20 ویں صدی کی صحت عامہ کی دس عظیم کامیابیوں میں سے ایک کے طور پر درج کیا ہے۔[21] اس کے باوجود، یہ عمل صحت عامہ کے اقدام کے طور پر متنازعہ ہے۔ کچھ ممالک اور کمیونٹیز نے فلورائیڈیشن کو بند کر دیا ہے، جبکہ دوسروں نے اسے بڑھا دیا ہے۔[10][22] پریکٹس کے مخالفین کا کہنا ہے کہ نہ تو فوائد اور نہ ہی خطرات کا مناسب مطالعہ کیا گیا ہے، اور اس تنازعہ پر بحث کرتے ہیں کہ بڑے پیمانے پر ادویات اور انفرادی آزادیوں کو کیا سمجھا جا سکتا ہے۔[22][23]"
759,میں گرمی برداشت نہیں کر سکتا کے جملے کو مثبت انداز میں دوبارہ لکھیں۔
51,مندرجہ ذیل ڈش بنانے کے لیے جو اجزاء درکار ہیں ان کی فہرست دیں۔پیزا
864,انواع X کی وضاحت کریں۔پرجاتی X
490,زمینی رقبے کے لحاظ سے دنیا کے سب سے بڑے ملک کی شناخت کریں۔
134,سمندر کے بارے میں 5 الفاظ کا ہائیکو تحریر کریں۔
194,کسی خاص لفظ کے مترادفات کی شناخت کریں۔خوش
78,ایک تجربہ کیا ہے؟
386,ریاستی ٹیکس کے بغیر امریکہ میں منتقل ہونے کے لیے سرفہرست 3 شہر کون سے ہیں؟
829,فلم کاسابلانکا کی داستانی ساخت بیان کریں۔
390,درج ذیل جملہ نامکمل ہے۔ براہ کرم اسے مکمل کریں۔انسان کی پیدائشی خواہش ہوتی ہے۔
847,دی گئی ٹیکنالوجی کے تین فوائد درج کریں۔کلاؤڈ کمپیوٹنگ
741,فضائی آلودگی کی دو اقسام کے نام بتائیں اور بتائیں کہ ہر ایک انسانی صحت کو کیسے متاثر کرتی ہے۔
11,دو اسٹارٹ اپس کو دیکھتے ہوئے، معیشت پر ان کے اثرات کی وضاحت کریں۔اسٹارٹ اپس: Uber اور Airbnb
821,ایک استعارہ بنائیں جو جملے میں خیال کا اظہار کرے۔کمپنی تیزی سے ترقی کر رہی ہے۔
777,کیفین کے جسمانی اثرات بیان کریں۔
875,کسی دوست کی سالگرہ کے لیے مناسب تحفہ تجویز کریں۔
430,کسی بھی کمپنی کے بارے میں کچھ ڈیٹا جمع کریں۔کمپنی: ٹیسلا
848,تین سوالات پیدا کریں جو ہم دیئے گئے عنوان سے متعلق صارف سے پوچھ سکتے ہیں۔متبادل ایندھن
521,تمباکو نوشی کی برسکٹ کو دوبارہ استعمال کرنے کے کچھ طریقے کیا ہیں؟
337,حکمت عملی اور قسمت کے امتزاج پر مشتمل دو کھلاڑیوں کا کھیل بنائیں۔
68,"براہ کرم مجھے کوبی برائنٹ کی ابتدائی زندگی میں پیش آنے والے اہم واقعات کی ایک مختصر فہرست دیں، ابتدائی سے تازہ ترین تک۔برائنٹ 23 اگست 1978 کو فلاڈیلفیا میں پیدا ہوئے، تین بچوں میں سب سے چھوٹے اور پامیلا کاکس برائنٹ اور سابق این بی اے کھلاڑی جو برائنٹ کے اکلوتے بیٹے تھے۔ وہ این بی اے پلیئر جان چوبی کاکس کے ماموں بھتیجے بھی تھے۔ اس کے والدین نے اس کا نام کوبی، جاپان کے مشہور گائے کے گوشت کے نام پر رکھا، جسے انہوں نے ایک ریستوراں کے مینو میں دیکھا تھا۔ اس کا درمیانی نام، بین، اس کے والد کے عرفی نام جیلی بین سے ماخوذ تھا۔ برائنٹ کا خاندان کیتھولک تھا اور اس کی پرورش اسی عقیدے کے ساتھ ہوئی تھی۔

برائنٹ نے باسکٹ بال کھیلنا شروع کیا جب وہ تین سال کا تھا، [21] اور جب وہ بڑے ہو رہے تھے تو لیکرز ان کی پسندیدہ ٹیم تھی۔ جب برائنٹ چھ سال کے تھے تو ان کے والد NBA سے ریٹائر ہو گئے اور پیشہ ورانہ باسکٹ بال کھیلنا جاری رکھنے کے لیے اپنے خاندان کو اٹلی میں Rieti منتقل کر دیا۔ دو سال کے بعد، وہ پہلے Reggio Calabria، پھر Pistoia اور Reggio Emilia چلے گئے۔ کوبی اپنے نئے طرز زندگی کا عادی ہو گیا اور روانی سے اطالوی بولنا سیکھا۔ وہ خاص طور پر ریگیو ایمیلیا کو پسند کرتا تھا، جسے وہ ایک پیاری جگہ سمجھتا تھا اور جہاں اس کی بچپن کی کچھ بہترین یادیں بنی تھیں۔ برائنٹ نے ریگیو ایمیلیا میں رہتے ہوئے سنجیدگی سے باسکٹ بال کھیلنا شروع کیا۔[28][29] برائنٹ کے دادا اسے NBA گیمز کی ویڈیوز برائنٹ کو پڑھنے کے لیے بھیجیں گے۔[30] تحریک کا ایک اور ذریعہ کھیلوں کے بارے میں متحرک یورپی فلمیں تھیں، جن سے اس نے باسکٹ بال کے بارے میں مزید معلومات حاصل کیں۔[31] 1987 سے 1989 تک، ان کے والد اولمپیا باسکٹ پسٹویا کے لیے کھیلے جہاں انہوں نے سابق ڈیٹرائٹ پسٹنز لیون ڈگلس کے ساتھ جوڑا بنایا۔ کوبی گیمز میں بال اور موپ بوائے کے طور پر کام کرے گا اور ہاف ٹائم پر شوٹنگ کی پریکٹس کرے گا، ڈگلس کے ساتھ، ہمارے ہر ایک گیم میں ہاف ٹائم پر، یہ کوبی شو تھا۔ ہم آدھے وقت پر لاکر روم سے باہر آتے اور عدالت سے اس کا پیچھا کرنا پڑتا۔[32]

برائنٹ نے فٹ بال کھیلنا بھی سیکھا، اور اس کی پسندیدہ فٹ بال ٹیم اے سی میلان تھی۔[33][34] گرمیوں کے دوران، برائنٹ ایک باسکٹ بال سمر لیگ کھیلنے کے لیے امریکہ واپس آ جاتا تھا۔[35] جب برائنٹ 13 سال کا تھا، تو وہ اور اس کا خاندان واپس فلاڈیلفیا چلا گیا، جہاں اس نے بالا سین وائیڈ مڈل اسکول میں آٹھویں جماعت میں داخلہ لیا۔[25][36]"
525,"دو فقرے دیے گئے، ایک تشبیہ کا استعمال کرتے ہوئے اسے دوبارہ لکھیں۔وہ بہت مددگار تھی۔
وہ انتہائی صابر تھا۔"
301,درج ذیل تصویر کو چند الفاظ میں بیان کریں۔تصویر: ایک آدمی دفتر میں کام کر رہا ہے۔
352,بحث کریں کہ چاند پر اترنا کیوں اہم تھا۔
377,اس مضمون سے متعلق 2 اہم سوالات کے ساتھ آئیں۔سیاسی ٹیلی ویژن اشتہارات پر سی این این کے مشیر کا خیال ہے کہ 2008 کے انتخابات پر اثر انداز ہونے کی لاگت $3 بلین سے تجاوز کر سکتی ہے۔
107,جعلی شے کی پانچ مثالوں کی فہرست فراہم کریں۔
397,اس جملے کو استعارہ میں تبدیل کریں۔زندگی ایک دوڑ ہے۔
785,تقریر دی گئی، تقریر کو مزید اثر انگیز اور قائل کرنے کے لیے اس میں ترمیم کریں۔صبح بخیر خواتین و حضرات، میں یہاں آپ سے بات کرنے آیا ہوں کہ مجھے اگلا صدر کیوں ہونا چاہیے۔
796,دینین نے اپنی نوعمری میں کیا کیا؟1880 کی دہائی میں اپنی نوعمری میں، اس نے ساک کاؤنٹی، آئیووا میں ایک وقت کے لیے اسکول پڑھایا۔ اس نے ماؤنٹ کیرول سیمینری (بعد میں شمر کالج کے نام سے جانا جاتا ہے) میں تعلیم حاصل کی، 1890 میں باہر نکلی۔ اگرچہ اس وقت بنیادی طور پر ایک لبرل آرٹس ادارہ ہے، [5] اسکول نے سٹینوگرافی اور ٹائپ رائٹنگ کے کورسز بھی پیش کیے تھے۔[6] دینین نے اپنی پڑھائی میں اتنی اچھی کارکردگی کا مظاہرہ کیا کہ 1889[7] اور 1890 میں ان مضامین کے انسٹرکٹر کی خدمات حاصل کی گئیں۔
467,بیان کریں کہ آپ اسکول سے پہلے صبح کیا کرتے ہیں۔
569,اینٹروپی کیا ہے؟اینٹروپی ایک سائنسی تصور ہے، نیز ایک قابل پیمائش طبعی خاصیت، جو عام طور پر خرابی، بے ترتیبی، یا غیر یقینی صورتحال سے وابستہ ہے۔ اصطلاح اور تصور متنوع شعبوں میں استعمال کیا جاتا ہے، کلاسیکی تھرموڈینامکس سے، جہاں اسے سب سے پہلے تسلیم کیا گیا تھا، شماریاتی طبیعیات میں فطرت کی خوردبینی وضاحت، اور انفارمیشن تھیوری کے اصولوں تک۔ اس نے کیمسٹری اور فزکس، حیاتیاتی نظاموں اور زندگی سے ان کے تعلق، کاسمولوجی، معاشیات، سماجیات، موسمی سائنس، موسمیاتی تبدیلی، اور معلوماتی نظام بشمول ٹیلی کمیونیکیشن میں معلومات کی ترسیل میں دور دراز کی ایپلی کیشنز پائی ہیں۔[1]
429,آپ کے ٹیسلا کو گھر پر چارج کرنے کے فوائد اور نقصانات کیا ہیں؟
299,ورچوئل لرننگ ماحول کے نتائج کا تجزیہ کریں۔
323,دیئے گئے لفظ کے ساتھ شاعری کرنے کے لیے دو الفاظ تجویز کریں۔آسمان
507,مثلث کے رقبے کا حساب لگانے کے لیے C++ میں ایک فنکشن بنائیں۔
675,فلپائنی لوگ چاول کھانا اتنا کیوں پسند کرتے ہیں؟
863,مندرجہ ذیل ٹویٹ کا تجزیہ کریں اور پیغام کے جذبات کی درجہ بندی کریں۔امریکی معیشت بلند ہو رہی ہے اور بے روزگاری کی سطح کبھی کم نہیں ہوئی۔
589,دوستی کے بارے میں درج ذیل الفاظ کا استعمال کرتے ہوئے ایک نظم بنائیں: خوشی، محبت، اسرار۔
867,اپنے کیلیفورنیا جانے کے بارے میں بتاتے ہوئے اپنے کسی دوست کو ایک ای میل لکھیں جو آپ نے طویل عرصے سے نہیں دیکھا
635,isobars کی تقسیم کیا ظاہر کرتی ہے؟ایک آئسوبار گراف، پلاٹ، یا نقشے پر مساوی یا مستقل دباؤ کی لکیر ہے۔ دباؤ کی ایک آئسوپلتھ یا سموچ لائن۔ زیادہ درست طور پر، isobars نقشے پر کھینچی گئی لکیریں ہیں جو ایک مخصوص مدت کے لیے سمندر کی سطح پر کم ہونے والے برابر اوسط ماحولیاتی دباؤ کے مقامات کو جوڑتی ہیں۔ موسمیات میں، دکھائے گئے بیرومیٹرک دباؤ کو سطح سمندر تک کم کیا جاتا ہے، نقشے کے مقامات پر سطحی دباؤ نہیں۔ isobars کی تقسیم کا ہوا کے میدان کی شدت اور سمت سے گہرا تعلق ہے، اور مستقبل کے موسمی نمونوں کی پیش گوئی کرنے کے لیے استعمال کیا جا سکتا ہے۔ Isobars عام طور پر ٹیلی ویژن کے موسم کی رپورٹنگ میں استعمال ہوتے ہیں۔
469,مزید وضاحتی بنانے کے لیے ایک سابقہ جملہ شامل کرکے درج ذیل جملے میں ترمیم کریں۔میں دفتر میں داخل ہوا۔
915,دماغی صحت پر ورزش کے اثرات کا مطالعہ کرنے کے لیے تحقیق کے کس قسم کے طریقے بہترین ہوں گے؟
