input,label
آصف زرداری کی عدالتی فیصلے کے بعد وزیراعلیٰ سندھ کو ایم کیوایم سے مذاکرات کی ہدایت,3
2014 میں افغانستان آج سے زیادہ محفوظ اور مضبوط ہوگا، حامد کرزئی,7
درجہ حرارت میں تبدیلی سے بجلی بنانے والا آلہ تیار,4
لیاری میں نجی اسکول کے مالک کے گھر پر دستی بم حملہ، بچی سمیت 7 افراد زخمی,3
شدید گرمی میں طویل لوڈشیڈنگ، 21 افراد ہلاک، ملک بھر میں مظاہرے ,3
آئرلینڈ میں کبھی نہ ڈوبنے والی کشتی تیار,4
فیصل صالح حیات پاکستان فٹبال فیڈریشن کے صدر کے عہدے پر بحال,5
پاکستان ریلوے کا عید پر 23 خصوصی ٹرینیں چلانے کا فیصلہ,0
سکندرکی گرفتاری ظاہرنہ کرنے کے باعث تفتیش شروع نہ ہوسکی ,3
ملک میں سالانہ 20 ارب روپے کی گیس ضائع,0
سابق امریکی صدر بارک اوباما کو نئی نوکری مل گئی,7
اسکول روزسیزن گرامرکی رجسٹریشن معطل کرنے کافیصلہ، مقتولہ نیہا سپردخاک,3
ہمسایہ ممالک سےعزت اوروقار کے ساتھ دوستانہ تعلقات چاہتے ہیں، سربراہ پاک فوج,3
وزیراعظم نواز شریف آج قوم سے خطاب کریں گے,3
پاکستانی قوم اور افواج نے دہشتگردی کیخلاف جنگ میں بھاری قیمت ادا کی ، سربراہ پاک فوج,3
پیپلز پارٹی نے پیٹرول بحران پر قومی اسمبلی میں تحریک التوا جمع کرادی,3
وزیراعظم کو اب اخلاقی بنیادوں پر مستعفی ہوجانا چاہیے، فاروق ستار,3
کیون پیٹرسن نے ایک بار پھر پاکستان آنے سے انکار کردیا,5
کاشغر تا گوادر ریل پروجیکٹ پر کام شروع، کراچی سرکلر ریلوے منصوبے کا فائل ورک مکمل,3
امریکا میں عالم دین کو شدت پسندی کے فروغ اور دہشتگردوں کی مدد کے الزام میں عمر قید,7
6 کمپنیوں،8 بینکوں کے فارنسک آڈٹ کیلیے اشتہار شائع کرانیکی ہدایت,0
متحد ہوکر مشکل حالات پر قابو پالیں گے، نوازشریف,3
الیکشن کمیشن سرکاری اہلکاروں کے تبادلے اور تقرریوں کا نوٹس لے، آفتاب شیرپاؤ,3
پاکستان نے سری لنکا کو 9 سال بعد ٹیسٹ سیریز میں شکست دے دی,5
الطاف حسین پرعمران خان کا الزام افسوسناک ہے، رابطہ کمیٹی,3
ویمنز ورلڈ کپ؛ سری لنکا سے شکست کے بعد بھارت سپرسکس مرحلے سے باہر,5
دنیا بھر میں آج ’ارتھ ڈے‘ منایا جا رہا ہے,7
وفاق سندھ حکومت کے معاملات میں دخل اندازی بند کرے، شرجیل میمن,3
انسٹا گرام نے متحرک تصاویرکا آپشن دوبارہ بحال کردیا,4
پریانکا کو دوسری ہالی وڈ فلم میں کام کی پیشکش,1
لاہور: 90 ڈاکٹرزکو نوکریوں سے برطرف کردیا گیا،محکمہ صحت,3
کالعدم تنظیم کے منجمداکاؤنٹ سے رقم نکلوانے پر 4 افرادگرفتار,3
این آر او پر یقین نہیں رکھتے، احسن اقبال,3
امریکا میں طوفان، کاروبار بند، طلب کرنے پر خام تیل کی عالمی قیمتوں میں کمی ,0
پاک فوج کا زمین سے زمین تک مار کرنے والے حتف 9 نصر میزائل کا کامیاب تجربہ,3
کراچی حصص مارکیٹ میں بلندیوں کا سفر جاری، 31600 پوائنٹس کی حد بھی عبور ,0
پاکستان اسٹیل: فولاد خریداری میں2.25 ارب کا اضافی خرچ ,0
لاہور ہائی کورٹ میں وزیراعظم نواز شریف کی نااہلی کے لئے انٹرا کورٹ اپیل دائر,3
را، موساد اور امریکی سی آئی اے نادرا ڈیٹا تک پہنچ سکتی ہیں، حساس ادارہ,3
اسرائیل اور فلسطین کے درمیان کشیدگی کی اصل ذمہ دار حماس ہے، جان کیری,7
 کراچی کے کئی حلقوں میں پولنگ  تاخیرسے شروع، الیکشن کمیشن کا نوٹس  ,3
مریخ کی ابتدائی سیاہ سطح گریفائٹ سے بنی تھی، سائنسدان,4
عمران خان کو دن رات جھوٹ بولنے کے علاوہ کوئی کام نہیں، شہباز شریف,3
یکم جنوری سے پیٹرولیم مصنوعات کی قیمتوں میں 4 روپے فی لیٹرتک کمی کاامکان,0
کیویزبورڈ نے ورلڈ کپ فائنل کھیلنے والی ٹیم پراعزازات کی بارش کردی,5
سلمان کی فلم ’’ٹیوب لائٹ‘‘ دوسرے دن بھی کمال نہ دکھاسکی,1
مستقبل میں پیپلز پارٹی کو صدارتی انتخاب کے بائیکاٹ کی غلطی کااحساس ہوگا، وزیراعظم,3
سیاسی بحران سے غیر ملکی کمپنیوں کے اعتماد میں نمایاں کمی   ,0
زرمبادلہ ذخائر 26.49 کروڑ کمی سے 13.2 ارب ڈالر رہ گئے  ,0
ڈرون حملے سے طالبان کے ساتھ مذاکرات کو ہلاک نہیں ہونے دیں گے، وفاقی وزیر اطلاعات,3
سپریم کورٹ کی عمارت غیرقانونی ہے تو اسے بھی گرا دیا جائے، چیف جسٹس,3
بنگلادیش میں ٹوئٹر اور اسکائپ سمیت دیگر سماجی ویب سائٹس پرعائد پابندی ہٹادی گئی,7
جاپان میں فلیٹ سے 8 خواتین سمیت 9 افراد کی سرکٹی لاشیں برآمد,7
ایکسپریس میڈیا گروپ کے زیراہتمام عالمی اردو کانفرنس آج سے شروع ہوگی ,3
محکمہ تعلیم سندھ میں 13 ہزار بھرتیاں جائز قرار، پیر مظہر کیخلاف نیب تحقیقات ختم,3
فلم کی ڈیمانڈ، پریانکا چوپڑہ کا با کسنگ سیکھنے کا فیصلہ,1
پاکستان اور افغانستان کی افواج کا دہشت گردوں کیخلاف مشترکہ آپریشن پر اتفاق,3
حالات سے گھبرانے والا نہیں اور نہ ہی کبھی آئین پر آنچ آنے دوں گا، وزیر اعظم ,3
مسئلہ کشمیر پر اپنے مؤقف سے پیچھے نہیں ہٹے، سرتاج عزیز ,3
رنبیر کی ’’ بے شرم ‘‘ باکس آفس پر دھوم مچانے میں ناکام ,1
ایان علی کی گرفتاری کے بعد معروف اداکارائیں اور ماڈلز پریشان,1
شوگرملزکے مسائل کیلیے صوبائی سطح پر کمیٹیاں بنانے کااعلان,0
چینی کمیاب نہیں گنا مہنگا ہونے سے قیمت بڑھی، شوگرملز,0
کراچی سمیت ملک کے بڑے شہروں میں امن بحال کردیا، وزیراعظم,3
ماسکو میں ٹرانسپورٹ نمائش کے دوران مستقبل کی ٹرین پیش کردی گئی,6
ون ڈے سیریز میں عماد وسیم کمزور کڑی، بابر اعظم کا بیٹ سرگرم,5
پاکستان پر دباؤ سے کچھ حاصل نہیں ہوا، امریکی محکمہ خارجہ نے ناکامی کا اعتراف کر لیا,7
2013 سے اب تک سائبر کرائم  کے ذریعے ایک ارب ڈالر سے زائد رقم چرائی گئی، رپورٹ,7
پشاورمیں گھریلو تنازع پر میاں بیوی قتل,3
وائٹ اسپرٹ کے نام پر مٹی کے تیل کی اسمگلنگ بے نقاب,0
فوک موسیقی دنیا بھر میں پسند کی جاتی ہے، عابدہ پروین,1
فیشن انڈسٹری میں ہمارا کسی سے کوئی مقابلہ نہیں، عمائمہ ملک,1
اسلام آباد: لینڈنگ کے دوران نجی ایئرلائن کے طیارے میں خرابی، رن وے کئی گھنٹوں کیلئے بند,3
لاکھوں کروڑوں سیاروں میں زمین سب سے انوکھی اور نایاب ہے، سائنسدان,4
ڈیوڈ ویلی کا کندھا بڑی چوٹ سے بچ گیا، ٹی 20 سیریز کا حصہ بنیں گے,5
حج کوٹا دلوانے کیلیے ایجنٹ سرگرم،لاکھوںبٹورنے لگے,3
اللہ کےعلاوہ کسی سے نہیں ڈرتا، ملک کیلئے واپس آیا ہوں اور اب یہیں رہوں گا، پرویز مشرف,3
معاصر دُنیا، ادیب اور قیامِ امن,7
الیکشن کمیشن کا صدرکی منظوری کے بغیرہی ترمیم شدہ کاغذات نامزدگی چھاپنے کا فیصلہ,3
شردھا کپور کا زخمی ٹانگ کے ساتھ رقص، پروفیشنل اداکارہ ہونے کا ثبوت دیدیا ,1
نوازشریف اپنی ذات کے لئے ملکی سلامتی داؤ پر لگا رہے ہیں، آصف زرداری,3
لانگ مارچ الیکشن سبوتاژ کرنیکا خفیہ ایجنڈہ ہے، احسن اقبال,3
حکومت ٹیکس ایمنسٹی اسکیم لانا چاہتی ہے توپہلے شریف خاندان اپنے اثاثے پاکستان لائیں، عمران خان,3
ملک میں مارشل لا لگا تو پارلیمنٹ میں میرے سوا سارے لوگ فوج کے پیچھے ہوں گے، جمشید دستی,3
بلوچستان میں بلدیاتی انتخابات کے لئے پولنگ مکمل، نتائج کی آمد کا سلسلہ جاری,3
راولپنڈی میں پولیس حراست میں ہلاک نوجوان کے ورثا کا تھانے پر دھاوا، اہلکار فرار,3
پی آئی اے کے بوئنگ سے پرندہ ٹکراگیا،ایک انجن کوشدید نقصان,3
کمار سنگا کارا نے نیا ریکارڈ اپنے نام کرلیا,5
ہنسی کو ورزش کا حصہ بنائیے اور بڑھاپے میں صحت کو بہتر رکھیے,2
پاناما لیکس کی تاریخ، کہانی کہاں سے شروع ہوئی؟,7
سہراب گوٹھ میں رینجرز کا سرچ آپریشن، 3 دہشت گردوں سمیت ایک درجن سے زائد مشتبہ افراد گرفتار,3
داستاں در داستاں رسوائی ہے,7
آئی ایس آئی اور افغان خفیہ ایجنسی کے درمیان دہشت گردی کے خلاف تعاون کا معاہدہ,3
برمودا تکون کی پراسراریت کی بنیادی وجہ,3
پرتشدد ویڈیوز اور نازیبا کمنٹس روکنے کیلیے یوٹیوب کا اہم اقدام,4
موہالی میں میچ: بھارت کو پاکستانی درخواست ماننے میں مشکلات ,5
نیب کا کراچی ڈویلپمنٹ اتھارٹی کے دفتر پر چھاپہ،ریکارڈ ضبط,3
سوئس کیس: وزیراعظم کو 8اگست کی نئی ڈیڈلائن۔ سپریم کورٹ,3
2017ء کے جولائی/ اگست / ستمبر  میں تاریخ بن جانے والے اہم ملکی اور عالمی واقعات,7
عراق کے 4شہروں میں بم دھماکے، 19ہلاک، 64زخمی,7
عدالتی فیصلے کے بعد کسی بحث کی گنجائش نہیں،خرم دستگیر,3
شاہد آفریدی نے انٹرنیشنل کرکٹ چھوڑنے کا اشارہ دے دیا,5
سعودی عرب میں فائرنگ سے 5 افراد ہلاک، 14 زخمی,7
بھارت کا 5 پاکستانی سفارتکاروں کو میچ دیکھنے کیلیے کولکتہ جانے کی اجازت دینے سے انکار,3
سندھ بھر میں ’’را‘‘ موجود ہے جو دہشت گردی کی کارروائیاں کررہی ہے، صوبائی وزیرداخلہ,3
امریکا کا ایران پر لگائی گئی پابندیوں میں  توسیع کا اعلان ,7
موبائل بینکاری سے مالی شمولیت میں بڑی تبدیلی ممکن ہے    ,0
سیاسی جرگے نے مسئلے کے حل کیلئے بامقصد مذاکرات کیے جو سود مند نہیں ہوسکے، سراج الحق,3
میں نواز شریف اور وہ میری بقا ہیں، ناکامیوں کا ذمے دار خود ہوں، زرداری ,3
بھارت نے ویزہ دیا ہے تحفظ بھی اس کی ذمے داری ہے ،جاوید شیخ,1
قائداعظم ٹرافی، شعیب نے کراچی کے 5 پلیئرز کو ٹھکانے لگادیا    ,5
انڈونیشیا میں ہم جنس پرستی کے الزام میں 58 افراد گرفتار,7
وزیراعظم کی زیر صدارت اہم اجلاس، نیشنل ایکشن پلان پر عملدرآمد تیز کرنے کی ہدایت,3
پرائیویٹ آپریٹرز نے آفر لیٹر کے بغیر ہی حج بکنگ شروع کر دی,3
سحر اورافطارمیں لوڈشیڈنگ تکنیکی وجوہات کی وجہ سے ہورہی ہے، وفاقی وزیر پانی وبجلی,3
سمجھوتہ ایکسپریس کا انجن فیل ، 2 گھنٹے تاخیر سے روانہ,3
وفاقی حکومت کا سندھ پولیس کی 2 واٹر کینن واپس کرنے سے انکار,3
چین میں دھماکا خیز مواد پھٹنے سے 7 افراد ہلاک,7
چیمپئنز ٹرافی کی آخری جنگ کا بگل بج گیا,5
بنگلا دیش میں ایک اور سیکولر پروفیسر قتل,7
پریانکا چوپڑا نے چڑیل کا روپ دھار لیا,1
پاکستان نے بھارت میں خوف پھیلانے کے الزامات کی تردید کردی,7
حساس اداروں کواپنی کارکردگی کاجائزہ لینا ہوگا، رحمن ملک,3
قومی اسمبلی کااجلاس آج شروع ہوگا، ہنگامہ خیزہونے کا امکان ,3
پنجاب میں موٹروے بند ہونے سے یومیہ کروڑوں روپے کا نقصان,3
پٹھان کوٹ ائر بیس پہ پُراسرارحملہ,7
بوبی دیول نے 200 سے زائد فلموں میں اداکاری کا مظاہرہ کیا,1
ترقیاتی منصوبوں کے ثمرات نظر آرہے ہیں، اگلی حکومت پی پی پی کی ہوگی، صدر زرداری,3
مصر میں پولیس اہلکار نے تیسری منزل سے گرنے والے بچے کو ’کیچ‘ کرلیا,6
شارجہ ٹی 20، پاکستان نے سنسنی خیز مقابلے کے بعد افغانستان کو6 وکٹوں سے شکست دے دی,5
تحریک انصاف کا پارلیمنٹ کا بائیکاٹ ختم کرنے کا اعلان,3
مشتاق بولرز کیلیے ’ سوتیلی ماں ‘بن گئے,5
دورۂ جنوبی افریقہ، بھارتی ٹیم کا آج اعلان، گمبھیر اور ظہیر خان کی واپسی کا امکان,3
اسامہ بن لادن کی لاش کا افغانستان میں ڈی این اے ٹیسٹ کا انکشاف,7
نگراں حکومت مک مکا سے نہیں بننے دیں گے،ڈاکٹرطاہرالقادری,3
بھارت مقبوضہ کشمیر میں منظم طریقے سے تشدد کررہا ہے، وکی لیکس کے انکشافات,3
میانمار میں ایک مرتبہ پھر مسلم کش فسادات پھوٹ پڑے، 2 افراد ہلاک,7
وفاقی دارالحکومت اسلام آباد میں 2 ماہ کے لیے دفعہ 144 نافذ,3
بھارت میں 4 منزلہ ہوٹل ٹرک ٹکرانے سے منہدم، 10 افراد ہلاک,7
ٹرمپ نے برطرف کئے جانیوالے ایف بی آئی ڈائریکٹر کو اداکار قرار دیدیا,7
چیمپئنز ٹرافی 2021 کے لیے پاکستان نے میزبانی کا ارمان دل میں بسا لیا,5
بھارتی ریاست بہارمیں شدید بارش اورطوفان سے 33 افراد ہلاک،80 سے زائد زخمی,7
فکس اٹ مہم کے بانی عالمگیرخان گرفتار,3
نوبل انعام یافتہ سب سے عمر رسیدہ اطالوی خاتون انتقال کرگئیں ,7
پنڈی بھٹیاں میں استاد کا طالب علم پروحشیانہ تشدد، بچے کے دانت توڑ ڈالے,3
سشما سوراج کے دورہ پاکستان میں جامع مذاکرات سےمتعلق کچھ کہناقبل ازوقت ہے، سرتاج عزیز,3
کوئی کچھ بھی کہے شریف خاندان میں واضح اختلافات ہیں، یاسمین راشد,3
بھارت میں گائے کا گوشت سپلائی کرنے کے شبے میں ہندو انتہا پسندوں کا ٹرک ڈرائیور پر تشدد,7
تولیہ انڈسٹری توانائی بحران کا شکار، عالمی خریداروں نے بھارت کا رخ کرلیا   ,0
مائیکل وان کا پاکستانی ٹیم کی خراب کارکرگی  پر شک کا اظہار,5
بھارت نے پاکستانی امپائر اسد رؤف پر 5 سال کی پابندی عائد کردی,5
سرفراز نے عظیم کپتانوں میں شامل ہونے کا ارادہ کرلیا,5
انسانی حقوق کے تحفظ کے لئے عدلیہ کا کردار انتہائی اہم ہے، چیف جسٹس,3
اگر تم ساتھ ہوتے تو اچھا تھا,1
سلامتی کونسل میں پاکستان اور امریکی مندوبین کے درمیان لفظی جنگ,7
فاسٹ بولرمحمد آصف نے ریستوران میں جھگڑے کو ڈکیتی کا رنگ دیدیا,5
کراچی میں جعلی پاسپورٹس فروخت کرنے والا انسانی اسمگلر گرفتار,3
پنجاب ، سندھ میں مقررہ تاریخوں پر بلدیاتی انتخابات ہونگے، الیکشن کمیشن,3
قدرت کا کرشمہ؛ صحرائے اعظم میں ایک بار پھر برف باری,6
بل گیٹس انسداد پولیو مہم کیلئے 1.8ارب ڈالر دیں گے,7
انگور کھائیں اور مختلف قسم کے انفیکشن سے دور رہیں,2
خیبرپختونخوا میں باز کا غیرقانونی شکار کرنے پر قطری شہزادے کو 80 ہزار جرمانہ,3
پاکستانی کینوکی برآمد20کروڑڈالرتک پہنچنے کی امید,0
مینجمنٹ کے اعتماد پر پورا اترنے کی کوشش کروں گا، عمر اکمل,5
جی ایس پی پلس سے یورپی یونین کیساتھ تجارت 10 ارب یورو ہوجائیگی,0
جماعت اسلامی نے انکوائری کمیشن کیلئے ٹی او آرز کے 13 نکات پیش کردیئے,3
وزیرداخلہ رحمان ملک کی ایم کیوایم کے قائد الطاف حسین سے ملاقات,3
آر پی او گوجرانوالہ نے ایس ایچ اوز کے استعفوں کی تردید کردی,3
لیاری گینگ اور لشکر جھنگوی نے گٹھ جوڑ کر لیا، 30 فیصد کراچی میں مجرم روپوش ہیں,3
 بھارت میں شادی کا قیمتی تحفہ ایک عدد ٹوائلٹ !,6
آئی ایم ایف دوسری قسط دینے پر آج غور پاکستان جلد 30.8 کروڑ ڈالر واپس کر دیگا,3
دہشتگردی کیخلاف جوبہتر ہے کر رہے ہیں، امریکا کوجوابدہ نہیں، چوہدری نثار,3
ورلڈ کپ میں واکا کی تیز پچ افغان ٹیم کے ہوش اڑانے لگی,5
سانحہ ماڈل ٹاؤن کا مقدمہ ڈاکٹر طاہرالقادری کے بیٹے سمیت 3 ہزار کارکنوں کیخلاف درج ,3
بھارت کو افغانستان میں استعمال امریکی اسلحہ پاکستان کو دینے پر اعتراضات,3
عمران خان نے جوڈیشل کمیشن کی رپورٹ تسلیم کرلی,3
فری کک پر 27 واں گول، لیونل میسی نے ایک اور کلب ریکارڈ برابر کردیا,5
قومی ایئرلائن کی ایک روز میں 7 ملکی و بین الاقوامی پروازیں منسوخ، کئی کی روانگی میں گھنٹوں تاخیر,3
سپریم کورٹ کے ججوں کی تعداد بڑھا کر 19 کرنے کا بل منظور,3
’’مجھے اسٹار وارز دیکھنی ہے‘‘، اوباما نے فلم کے لئے پریس کانفرنس ادھوری چھوڑدی,6
ویرات کے ساتھ کسی قسم کا بزنس نہیں کررہی، انوشکا,1
اسلام آباد پولیس نے کامران فیصل قتل کی تحقیقات مکمل کرلیں   ,3
زرداری سے ملاقات، عرفان مروت ن لیگ چھوڑ کر پی پی میں شامل,3
افغانستان سے رہائی پانے والے 6 پاکستانی قیدی پشاورسنٹرل جیل منتقل,3
دپیکا کی تعریف میں رنویر حد سے گزر گئے,1
افغان طالبان کی ہلمند میں انسداد پولیو قطرے پلانے پرپابندی ,7
تقسیم کے وقت ہندو، مسیحی اور سکھ مسلمانوں کے خلاف متحد تھے,7
سعید اجمل ورلڈ کپ میں حصہ لینے کیلیے بے تاب ,5
ڈائریکٹر جنرل ملٹری آپریشنز کی ملاقات، بھارت نے تاریخ مانگ لی,7
عالمی بینک اصلاحات کے نفاذ میں پاکستان کی مدد کیلیے تیار,0
رئیس کے پوسٹر میں شاہ رخ اور ماہرہ کی دلچسپ کیمسٹری,1
وزیراعظم یمن کی صورت حال پر آج شام پالیسی بیان جاری کریں گے,3
جنرل باجوہ کو بھارت کیخلاف جارحانہ پالیسی اپنانا ہوگی، مشرف,3
ایم ایم اے کے مقابلے میں دینی جماعتوں کا کوئی اتحاد کامیاب نہیں ہوگا، فضل الرحمان,3
بے وقت کی راگنی تاثر نہ چھوڑ سکی، اسٹیڈیم میں الو بولنے لگے,5
اسفندیار، ہوتی اختلافات، امیر حیدر ہوتی پریشان، والد کا ساتھ دیں یا ماموں کا ,3
بھارتی ٹی وی اداکارہ سارہ خان پاکستانی ٹیلی فلم میں کام کریں گی,1
سانحہ بلدیہ پرسندھ حکومت کومستعفی ہوناچاہیے تھا، منورحسن ,3
زخم کی گہرائی اور انفیکشن دکھانے والا انوکھا دستی اسکینر,4
سلمان خان ایک مرتبہ پھر چھوٹی اسکرین پر کام کریں گے,1
ٹیکس چوروں کو پکڑنے کیلیے قانون سازی کا عمل شروع,0
آصف زرداری کا الطاف حسین کو ٹیلی فون، سندھ حکومت میں شمولیت پر تبادلہ خیال,3
پی ایس ایل کی وجہ سے متعدد فلموں کی نمائش ملتوی,1
کراچی میں ڈیڑھ لاکھ شناختی کارڈ چوری کیس کا فیصلہ 18 سال بعد سنا دیا گیا,3
غلط  پالیسیز ؛ قومی ون ڈے ٹیم زوال کی گہرائیوں میں پہنچ گئی,5
برطانوی خفیہ ادارہ جاسوسی کے لئے پاکستان کی موبائل کمپنیوں کو ہیک کرنے میں ناکام,7
سزائے موت پر عملدرآمد پاکستان کا اندرونی معاملہ ہے، امریکی محکمہ خارجہ,7
راکھی ساونت کا سنی لیون کوبالی ووڈ میں رہنے کے لیے اپنی کاپی کرنے کا مشورہ,1
بھارت نےجنگ مسلط کی تو پاکستان بھی بھرپور جواب دینے کے لئے تیارہے، خواجہ آصف,3
 اسلام امن و شانتی کا مذہب ہے، بھارتی وزیر اعظم نریندرمودی,3
ٹیسٹ ٹیم کی کپتانی، سرفراز احمد فیورٹ بن گئے,5
چیمپئنز لیگ: بائرن میونخ نے بارسلونا کو 4-0 سے پچھاڑ دیا,5
لاہور: کار حادثہ، ایک ہی خاندان کے 3 افراد جاں بحق، 2 بچے زخمی,3
نوجوانوں کا کارنامہ، گرمی کی لہر سے بچاؤ کیلیے ڈیوائس تیار,4
نئے چیئرمین نیب کا تقرر رکوانے کیلیے فصیح بخاری کا سپریم کورٹ سے رجوع کرنے کا فیصلہ,3
جدہ ،نجی ایئرلائن کی پروازیں50گھنٹے تاخیرکا شکار،مسافرپریشان ,3
بھارتی فلموں میں کام کرنیکی کبھی خواہش نہیں رہی، ریما,1
اسلام آباد ہائی کورٹ نے پنجاب میں سی این جی فراہمی کا سابقہ شیڈول بحال کردیا,3
منوبھائی اوراستاد نذرحسین کی وفات نے شوبزحلقوں کو رنجیدہ کردیا,1
ون ڈے بیٹسمین رینکنگ میں بابر اعظم ایک درجہ تنزلی سے چھٹے نمبر پر چلے گئے,5
2020 سمر گیمز: ایک کھیل کو نکالنے کیلئے آج ووٹنگ,5
مہران بیس جیسے حملوں سے نمٹنے کی تیاری کرلی،نیول چیف ,3
او آئی سی نے شام كی ركنيت معطل كردی,7
سرحد پرامن چاہتے ہیں لیکن بھارتی جارحیت کا بھرپورجواب دیں گے، ترجمان پاک فوج,3
بلا شاخ بینکاری کے ذریعے اپریل تا جون 326 ارب روپے کا لین دین   ,0
پاکستان میں انٹرنیٹ کی اوسط رفتار میں 156 فیصد اضافہ,4
قومی اسمبلی اجلاس کا ناتمام دورانیہ،آئینی بحران کاخدشہ,3
دہلی کی شاہی مسجد کے امام سید احمد بخاری قاتلانہ حملے میں بال بال بچ گئے,7
رجب المرجب کا چاند نظر آگیا، چیئرمین رویت ہلال کمیٹی,3
آئی سی سی سری لنکا کو واجب الادا  3 لاکھ ڈالر دینے کو تیارہوگئی ؟,5
پاک امریکن فرٹیلائزرکے ہزاروں مزدوروں کی بیروزگاری کاخدشہ,0
جعلی ڈگری کیس؛ سپریم کورٹ نے(ن) لیگ کی رکن قومی اسمبلی سمیرا ملک کو نا اہل قرار دیدیا,3
